roi_id,name,network,hemisphere,x,y,z
1,A8m_L,Frontal,L,-4.89,15.45,53.77
2,A8m_R,Frontal,R,6.84,16.32,54.22
3,A8dl_L,Frontal,L,-18.23,23.51,52.75
4,A8dl_R,Frontal,R,21.63,25.61,51.46
5,A9l_L,Frontal,L,-11.00,48.60,39.77
6,A9l_R,Frontal,R,12.84,48.29,40.09
7,A6dl_L,Frontal,L,-18.11,-0.68,65.05
8,A6dl_R,Frontal,R,20.16,4.16,63.86
9,A6m_L,Frontal,L,-6.08,-5.00,57.65
10,A6m_R,Frontal,R,7.35,-3.81,59.77
11,A9m_L,Frontal,L,-4.74,35.76,38.36
12,A9m_R,Frontal,R,5.97,37.90,35.10
13,A10m_L,Frontal,L,-7.71,55.99,15.23
14,A10m_R,Frontal,R,7.72,58.39,13.09
15,A9/46d_L,Frontal,L,-27.23,42.68,30.89
16,A9/46d_R,Frontal,R,30.21,37.06,35.75
17,IFJ_L,Frontal,L,-41.59,13.37,36.25
18,IFJ_R,Frontal,R,41.82,11.46,38.53
19,A46_L,Frontal,L,-27.89,55.93,12.23
20,A46_R,Frontal,R,27.68,55.02,16.94
21,A9/46v_L,Frontal,L,-40.78,40.71,16.12
22,A9/46v_R,Frontal,R,41.76,44.14,13.56
23,A8vl_L,Frontal,L,-32.88,23.19,45.18
24,A8vl_R,Frontal,R,42.00,26.63,39.17
25,A6vl_L,Frontal,L,-32.20,3.67,54.66
26,A6vl_R,Frontal,R,33.54,7.81,54.43
27,A10l_L,Frontal,L,-25.57,60.40,-5.54
28,A10l_R,Frontal,R,25.48,61.39,-3.81
29,A44d_L,Frontal,L,-45.97,13.36,23.71
30,A44d_R,Frontal,R,45.44,16.35,25.12
31,IFS_L,Frontal,L,-47.43,31.83,13.61
32,IFS_R,Frontal,R,47.92,34.93,13.18
33,A45c_L,Frontal,L,-52.63,23.03,11.08
34,A45c_R,Frontal,R,54.18,23.76,11.59
35,A45r_L,Frontal,L,-48.75,36.21,-2.83
36,A45r_R,Frontal,R,51.08,36.34,-0.54
37,A44op_L,Frontal,L,-39.41,22.60,3.79
38,A44op_R,Frontal,R,41.95,21.86,3.46
39,A44v_L,Frontal,L,-51.61,13.41,6.27
40,A44v_R,Frontal,R,53.59,13.86,10.99
41,A14m_L,Frontal,L,-6.58,53.52,-6.83
42,A14m_R,Frontal,R,6.37,47.47,-6.96
43,A12/47o_L,Frontal,L,-36.25,33.32,-15.91
44,A12/47o_R,Frontal,R,40.27,38.63,-14.32
45,A11l_L,Frontal,L,-22.59,37.51,-17.62
46,A11l_R,Frontal,R,23.48,36.15,-18.16
47,A11m_L,Frontal,L,-6.33,52.04,-19.36
48,A11m_R,Frontal,R,6.38,56.71,-16.43
49,A13_L,Frontal,L,-10.23,17.69,-18.77
50,A13_R,Frontal,R,9.13,20.23,-19.34
51,A12/47l_L,Frontal,L,-40.71,32.12,-9.19
52,A12/47l_R,Frontal,R,42.42,31.30,-8.93
53,A4hf_L,Frontal,L,-48.97,-7.64,39.00
54,A4hf_R,Frontal,R,54.69,-2.31,32.92
55,A6cdl_L,Frontal,L,-31.58,-9.12,57.80
56,A6cdl_R,Frontal,R,32.96,-6.77,56.52
57,A4ul_L,Frontal,L,-26.27,-24.97,62.59
58,A4ul_R,Frontal,R,34.23,-18.83,58.50
59,A4t_L,Frontal,L,-13.12,-20.48,73.33
60,A4t_R,Frontal,R,15.13,-21.55,70.99
61,A4tl_L,Frontal,L,-52.10,0.09,7.67
62,A4tl_R,Frontal,R,53.67,3.85,8.80
63,A6cvl_L,Frontal,L,-49.23,4.72,30.31
64,A6cvl_R,Frontal,R,51.22,7.17,30.48
