roi_id,name,network,hemisphere,x,y,z
1,7Networks_LH_Vis_1,Visual,LH,-25.75,-32.62,-17.38
2,7Networks_LH_Vis_2,Visual,LH,-25.48,-76.59,-13.51
3,7Networks_LH_Vis_3,Visual,LH,-16.44,-60.95,-6.74
4,7Networks_LH_Vis_4,Visual,LH,-27.13,-94.49,-4.74
5,7Networks_LH_Vis_5,Visual,LH,-5.42,-92.13,-2.57
6,7Networks_LH_Vis_6,Visual,LH,-12.1,-65.38,6.11
7,7Networks_LH_Vis_7,Visual,LH,-47.05,-70.84,10.5
8,7Networks_LH_Vis_8,Visual,LH,-25.75,-88.01,20.5
9,7Networks_LH_Vis_9,Visual,LH,-7.2,-81.47,25.94
10,7Networks_LH_SomMot_1,SomMot,LH,-53.16,-22.39,7.93
11,7Networks_LH_SomMot_2,SomMot,LH,-37.24,-21.2,15.5
12,7Networks_LH_SomMot_3,SomMot,LH,-54.48,-11.34,13.61
13,7Networks_LH_SomMot_4,SomMot,LH,-54.6,-8.25,33.45
14,7Networks_LH_SomMot_5,SomMot,LH,-39.28,-23.19,58.93
15,7Networks_LH_SomMot_6,SomMot,LH,-10.8,-26.32,63.51
16,7Networks_LH_DorsAttn_Post_1,DorsAttn,LH,-46.62,-56.81,-12.53
17,7Networks_LH_DorsAttn_Post_2,DorsAttn,LH,-57.49,-25.0,38.51
18,7Networks_LH_DorsAttn_Post_3,DorsAttn,LH,-25.08,-68.07,48.13
19,7Networks_LH_DorsAttn_Post_4,DorsAttn,LH,-41.69,-34.44,48.02
20,7Networks_LH_DorsAttn_Post_5,DorsAttn,LH,-5.8,-59.82,56.43
21,7Networks_LH_DorsAttn_Post_6,DorsAttn,LH,-22.32,-50.5,66.14
22,7Networks_LH_DorsAttn_PrCv_1,DorsAttn,LH,-48.05,6.02,27.74
23,7Networks_LH_DorsAttn_FEF_1,DorsAttn,LH,-27.08,-2.88,58.89
24,7Networks_LH_SalVentAttn_ParOper_1,SalVentAttn,LH,-58.62,-37.71,30.15
25,7Networks_LH_SalVentAttn_FrOperIns_1,SalVentAttn,LH,-41.6,-1.59,-6.61
26,7Networks_LH_SalVentAttn_FrOperIns_2,SalVentAttn,LH,-38.09,12.11,6.44
27,7Networks_LH_SalVentAttn_PFCl_1,SalVentAttn,LH,-29.6,43.54,29.76
28,7Networks_LH_SalVentAttn_Med_1,SalVentAttn,LH,-5.11,19.57,33.6
29,7Networks_LH_SalVentAttn_Med_2,SalVentAttn,LH,-10.63,-34.39,45.88
30,7Networks_LH_SalVentAttn_Med_3,SalVentAttn,LH,-6.13,3.22,61.46
31,7Networks_LH_Limbic_OFC_1,Limbic,LH,-13.65,32.43,-19.88
32,7Networks_LH_Limbic_TempPole_1,Limbic,LH,-33.42,0.95,-34.81
33,7Networks_LH_Limbic_TempPole_2,Limbic,LH,-56.67,-32.25,-21.15
34,7Networks_LH_Cont_Par_1,Cont,LH,-37.49,-53.96,46.36
35,7Networks_LH_Cont_PFCl_1,Cont,LH,-43.09,32.61,20.21
36,7Networks_LH_Cont_pCun_1,Cont,LH,-9.56,-73.09,37.49
37,7Networks_LH_Cont_Cing_1,Cont,LH,-3.74,-26.26,32.55
38,7Networks_LH_Default_Temp_1,Default,LH,-55.2,-3.41,-20.34
39,7Networks_LH_Default_Temp_2,Default,LH,-57.9,-31.78,-1.52
40,7Networks_LH_Default_Par_1,Default,LH,-57.18,-50.05,11.68
41,7Networks_LH_Default_Par_2,Default,LH,-47.25,-63.26,35.59
42,7Networks_LH_Default_PFC_1,Default,LH,-34.76,21.73,-11.0
43,7Networks_LH_Default_PFC_2,Default,LH,-46.23,33.46,-1.71
44,7Networks_LH_Default_PFC_3,Default,LH,-5.86,46.52,-0.88
45,7Networks_LH_Default_PFC_4,Default,LH,-23.02,59.93,-1.41
46,7Networks_LH_Default_PFC_5,Default,LH,-9.92,44.53,39.61
47,7Networks_LH_Default_PFC_6,Default,LH,-40.96,14.42,47.86
48,7Networks_LH_Default_PFC_7,Default,LH,-25.09,20.36,51.4
49,7Networks_LH_Default_pCunPCC_1,Default,LH,-11.37,-55.81,13.01
50,7Networks_LH_Default_pCunPCC_2,Default,LH,-5.77,-53.03,32.91
51,7Networks_RH_Vis_1,Visual,RH,31.65,-30.67,-21.4
52,7Networks_RH_Vis_2,Visual,RH,27.08,-65.13,-11.68
53,7Networks_RH_Vis_3,Visual,RH,49.33,-60.03,-10.96
