ROI,Network
7Networks_LH_Vis_1,Visual
7Networks_LH_Vis_2,Visual
7Networks_LH_Vis_3,Visual
7Networks_LH_Vis_4,Visual
7Networks_LH_Vis_5,Visual
7Networks_LH_Vis_6,Visual
7Networks_LH_Vis_7,Visual
7Networks_LH_Vis_8,Visual
7Networks_LH_Vis_9,Visual
7Networks_LH_SomMot_1,Somatomotor
7Networks_LH_SomMot_2,Somatomotor
7Networks_LH_SomMot_3,Somatomotor
7Networks_LH_SomMot_4,Somatomotor
7Networks_LH_SomMot_5,Somatomotor
7Networks_LH_SomMot_6,Somatomotor
7Networks_LH_DorsAttn_Post_1,Dorsal Attention
7Networks_LH_DorsAttn_Post_2,Dorsal Attention
7Networks_LH_DorsAttn_Post_3,Dorsal Attention
7Networks_LH_DorsAttn_Post_4,Dorsal Attention
7Networks_LH_DorsAttn_Post_5,Dorsal Attention
7Networks_LH_DorsAttn_Post_6,Dorsal Attention
7Networks_LH_DorsAttn_PrCv_1,Dorsal Attention
7Networks_LH_DorsAttn_FEF_1,Dorsal Attention
7Networks_LH_SalVentAttn_ParOper_1,Ventral Attention
7Networks_LH_SalVentAttn_FrOperIns_1,Ventral Attention
7Networks_LH_SalVentAttn_FrOperIns_2,Ventral Attention
7Networks_LH_SalVentAttn_PFCl_1,Ventral Attention
7Networks_LH_SalVentAttn_Med_1,Ventral Attention
7Networks_LH_SalVentAttn_Med_2,Ventral Attention
7Networks_LH_SalVentAttn_Med_3,Ventral Attention
7Networks_LH_Limbic_OFC_1,Limbic
7Networks_LH_Limbic_TempPole_1,Limbic
7Networks_LH_Limbic_TempPole_2,Limbic
7Networks_LH_Cont_Par_1,Frontoparietal Control
7Networks_LH_Cont_PFCl_1,Frontoparietal Control
7Networks_LH_Cont_pCun_1,Frontoparietal Control
7Networks_LH_Cont_Cing_1,Frontoparietal Control
7Networks_LH_Default_Temp_1,Default Mode
7Networks_LH_Default_Temp_2,Default Mode
7Networks_LH_Default_Par_1,Default Mode
7Networks_LH_Default_Par_2,Default Mode
7Networks_LH_Default_PFC_1,Default Mode
7Networks_LH_Default_PFC_2,Default Mode
7Networks_LH_Default_PFC_3,Default Mode
7Networks_LH_Default_PFC_4,Default Mode
7Networks_LH_Default_PFC_5,Default Mode
7Networks_LH_Default_PFC_6,Default Mode
7Networks_LH_Default_PFC_7,Default Mode
7Networks_LH_Default_pCunPCC_1,Default Mode
7Networks_LH_Default_pCunPCC_2,Default Mode
7Networks_RH_Vis_1,Visual
7Networks_RH_Vis_2,Visual
7Networks_RH_Vis_3,Visual
7Networks_RH_Vis_4,Visual
7Networks_RH_Vis_5,Visual
7Networks_RH_Vis_6,Visual
7Networks_RH_Vis_7,Visual
7Networks_RH_Vis_8,Visual
7Networks_RH_SomMot_1,Somatomotor
7Networks_RH_SomMot_2,Somatomotor
7Networks_RH_SomMot_3,Somatomotor
7Networks_RH_SomMot_4,Somatomotor
7Networks_RH_SomMot_5,Somatomotor
7Networks_RH_SomMot_6,Somatomotor
7Networks_RH_SomMot_7,Somatomotor
7Networks_RH_SomMot_8,Somatomotor
7Networks_RH_DorsAttn_Post_1,Dorsal Attention
7Networks_RH_DorsAttn_Post_2,Dorsal Attention
7Networks_RH_DorsAttn_Post_3,Dorsal Attention
7Networks_RH_DorsAttn_Post_4,Dorsal Attention
7Networks_RH_DorsAttn_Post_5,Dorsal Attention
7Networks_RH_DorsAttn_PrCv_1,Dorsal Attention
7Networks_RH_DorsAttn_FEF_1,Dorsal Attention
7Networks_RH_SalVentAttn_TempOccPar_1,Ventral Attention
7Networks_RH_SalVentAttn_TempOccPar_2,Ventral Attention
7Networks_RH_SalVentAttn_FrOperIns_1,Ventral Attention
7Networks_RH_SalVentAttn_Med_1,Ventral Attention
7Networks_RH_SalVentAttn_Med_2,Ventral Attention
7Networks_RH_Limbic_OFC_1,Limbic
7Networks_RH_Limbic_TempPole_1,Limbic
7Networks_RH_Cont_Par_1,Frontoparietal Control
7Networks_RH_Cont_Par_2,Frontoparietal Control
7Networks_RH_Cont_PFCl_1,Frontoparietal Control
7Networks_RH_Cont_PFCl_2,Frontoparietal Control
7Networks_RH_Cont_PFCl_3,Frontoparietal Control
7Networks_RH_Cont_PFCl_4,Frontoparietal Control
7Networks_RH_Cont_Cing_1,Frontoparietal Control
7Networks_RH_Cont_PFCmp_1,Frontoparietal Control
7Networks_RH_Cont_pCun_1,Frontoparietal Control
7Networks_RH_Default_Par_1,Default Mode
7Networks_RH_Default_Temp_1,Default Mode
7Networks_RH_Default_Temp_2,Default Mode
7Networks_RH_Default_Temp_3,Default Mode
7Networks_RH_Default_PFCv_1,Default Mode
7Networks_RH_Default_PFCv_2,Default Mode
7Networks_RH_Default_PFCdPFCm_1,Default Mode
7Networks_RH_Default_PFCdPFCm_2,Default Mode
7Networks_RH_Default_PFCdPFCm_3,Default Mode
7Networks_RH_Default_pCunPCC_1,Default Mode
7Networks_RH_Default_pCunPCC_2,Default Mode
