id,name,network
1,7Networks_LH_Vis_1,Visual
2,7Networks_LH_Vis_2,Visual
3,7Networks_LH_Vis_3,Visual
4,7Networks_LH_Vis_4,Visual
6,7Networks_LH_Vis_6,Visual
7,7Networks_LH_Vis_7,Visual
8,7Networks_LH_Vis_8,Visual
9,7Networks_LH_Vis_9,Visual
10,7Networks_LH_Vis_10,Visual
11,7Networks_LH_Vis_11,Visual
12,7Networks_LH_Vis_12,Visual
13,7Networks_LH_Vis_13,Visual
14,7Networks_LH_Vis_14,Visual
15,7Networks_LH_SomMot_1,Somatomotor
16,7Networks_LH_SomMot_2,Somatomotor
17,7Networks_LH_SomMot_3,Somatomotor
18,7Networks_LH_SomMot_4,Somatomotor
19,7Networks_LH_SomMot_5,Somatomotor
20,7Networks_LH_SomMot_6,Somatomotor
21,7Networks_LH_SomMot_7,Somatomotor
22,7Networks_LH_SomMot_8,Somatomotor
23,7Networks_LH_SomMot_9,Somatomotor
24,7Networks_LH_SomMot_10,Somatomotor
25,7Networks_LH_SomMot_11,Somatomotor
26,7Networks_LH_SomMot_12,Somatomotor
27,7Networks_LH_SomMot_13,Somatomotor
28,7Networks_LH_SomMot_14,Somatomotor
29,7Networks_LH_SomMot_15,Somatomotor
30,7Networks_LH_SomMot_16,Somatomotor
31,7Networks_LH_DorsAttn_Post_1,Dorsal Attention
32,7Networks_LH_DorsAttn_Post_2,Dorsal Attention
33,7Networks_LH_DorsAttn_Post_3,Dorsal Attention
34,7Networks_LH_DorsAttn_Post_4,Dorsal Attention
35,7Networks_LH_DorsAttn_Post_5,Dorsal Attention
36,7Networks_LH_DorsAttn_Post_6,Dorsal Attention
37,7Networks_LH_DorsAttn_Post_7,Dorsal Attention
38,7Networks_LH_DorsAttn_Post_8,Dorsal Attention
39,7Networks_LH_DorsAttn_Post_9,Dorsal Attention
40,7Networks_LH_DorsAttn_Post_10,Dorsal Attention
41,7Networks_LH_DorsAttn_FEF_1,Dorsal Attention
42,7Networks_LH_DorsAttn_FEF_2,Dorsal Attention
43,7Networks_LH_DorsAttn_PrCv_1,Dorsal Attention
44,7Networks_LH_SalVentAttn_ParOper_1,Ventral Attention
45,7Networks_LH_SalVentAttn_ParOper_2,Ventral Attention
46,7Networks_LH_SalVentAttn_ParOper_3,Ventral Attention
47,7Networks_LH_SalVentAttn_FrOperIns_1,Ventral Attention
48,7Networks_LH_SalVentAttn_FrOperIns_2,Ventral Attention
49,7Networks_LH_SalVentAttn_FrOperIns_3,Ventral Attention
50,7Networks_LH_SalVentAttn_FrOperIns_4,Ventral Attention
51,7Networks_LH_SalVentAttn_PFCl_1,Ventral Attention
52,7Networks_LH_SalVentAttn_Med_1,Ventral Attention
53,7Networks_LH_SalVentAttn_Med_2,Ventral Attention
54,7Networks_LH_SalVentAttn_Med_3,Ventral Attention
60,7Networks_LH_Limbic_TempPole_4,Limbic
61,7Networks_LH_Cont_Par_1,Frontoparietal Control
62,7Networks_LH_Cont_Par_2,Frontoparietal Control
63,7Networks_LH_Cont_Par_3,Frontoparietal Control
65,7Networks_LH_Cont_OFC_1,Frontoparietal Control
66,7Networks_LH_Cont_PFCl_1,Frontoparietal Control
67,7Networks_LH_Cont_PFCl_2,Frontoparietal Control
68,7Networks_LH_Cont_PFCl_3,Frontoparietal Control
69,7Networks_LH_Cont_PFCl_4,Frontoparietal Control
70,7Networks_LH_Cont_PFCl_5,Frontoparietal Control
71,7Networks_LH_Cont_pCun_1,Frontoparietal Control
72,7Networks_LH_Cont_Cing_1,Frontoparietal Control
73,7Networks_LH_Cont_Cing_2,Frontoparietal Control
74,7Networks_LH_Default_Temp_1,Default Mode
76,7Networks_LH_Default_Temp_3,Default Mode
77,7Networks_LH_Default_Temp_4,Default Mode
78,7Networks_LH_Default_Temp_5,Default Mode
79,7Networks_LH_Default_Par_1,Default Mode
80,7Networks_LH_Default_Par_2,Default Mode
81,7Networks_LH_Default_Par_3,Default Mode
82,7Networks_LH_Default_Par_4,Default Mode
83,7Networks_LH_Default_PFC_1,Default Mode
84,7Networks_LH_Default_PFC_2,Default Mode
85,7Networks_LH_Default_PFC_3,Default Mode
87,7Networks_LH_Default_PFC_5,Default Mode
88,7Networks_LH_Default_PFC_6,Default Mode
89,7Networks_LH_Default_PFC_7,Default Mode
90,7Networks_LH_Default_PFC_8,Default Mode
91,7Networks_LH_Default_PFC_9,Default Mode
92,7Networks_LH_Default_PFC_10,Default Mode
93,7Networks_LH_Default_PFC_11,Default Mode
94,7Networks_LH_Default_PFC_12,Default Mode
95,7Networks_LH_Default_PFC_13,Default Mode
96,7Networks_LH_Default_pCunPCC_1,Default Mode
97,7Networks_LH_Default_pCunPCC_2,Default Mode
98,7Networks_LH_Default_pCunPCC_3,Default Mode
99,7Networks_LH_Default_pCunPCC_4,Default Mode
100,7Networks_LH_Default_PHC_1,Default Mode
101,7Networks_RH_Vis_1,Visual
102,7Networks_RH_Vis_2,Visual
103,7Networks_RH_Vis_3,Visual
104,7Networks_RH_Vis_4,Visual
105,7Networks_RH_Vis_5,Visual
106,7Networks_RH_Vis_6,Visual
107,7Networks_RH_Vis_7,Visual
108,7Networks_RH_Vis_8,Visual
109,7Networks_RH_Vis_9,Visual
110,7Networks_RH_Vis_10,Visual
111,7Networks_RH_Vis_11,Visual
112,7Networks_RH_Vis_12,Visual
113,7Networks_RH_Vis_13,Visual
114,7Networks_RH_Vis_14,Visual
115,7Networks_RH_Vis_15,Visual
116,7Networks_RH_SomMot_1,Somatomotor
117,7Networks_RH_SomMot_2,Somatomotor
118,7Networks_RH_SomMot_3,Somatomotor
119,7Networks_RH_SomMot_4,Somatomotor
120,7Networks_RH_SomMot_5,Somatomotor
121,7Networks_RH_SomMot_6,Somatomotor
122,7Networks_RH_SomMot_7,Somatomotor
123,7Networks_RH_SomMot_8,Somatomotor
124,7Networks_RH_SomMot_9,Somatomotor
125,7Networks_RH_SomMot_10,Somatomotor
126,7Networks_RH_SomMot_11,Somatomotor
127,7Networks_RH_SomMot_12,Somatomotor
128,7Networks_RH_SomMot_13,Somatomotor
129,7Networks_RH_SomMot_14,Somatomotor
130,7Networks_RH_SomMot_15,Somatomotor
131,7Networks_RH_SomMot_16,Somatomotor
132,7Networks_RH_SomMot_17,Somatomotor
133,7Networks_RH_SomMot_18,Somatomotor
134,7Networks_RH_SomMot_19,Somatomotor
135,7Networks_RH_DorsAttn_Post_1,Dorsal Attention
136,7Networks_RH_DorsAttn_Post_2,Dorsal Attention
137,7Networks_RH_DorsAttn_Post_3,Dorsal Attention
138,7Networks_RH_DorsAttn_Post_4,Dorsal Attention
139,7Networks_RH_DorsAttn_Post_5,Dorsal Attention
140,7Networks_RH_DorsAttn_Post_6,Dorsal Attention
141,7Networks_RH_DorsAttn_Post_7,Dorsal Attention
142,7Networks_RH_DorsAttn_Post_8,Dorsal Attention
143,7Networks_RH_DorsAttn_Post_9,Dorsal Attention
144,7Networks_RH_DorsAttn_Post_10,Dorsal Attention
145,7Networks_RH_DorsAttn_FEF_1,Dorsal Attention
146,7Networks_RH_DorsAttn_FEF_2,Dorsal Attention
147,7Networks_RH_DorsAttn_PrCv_1,Dorsal Attention
148,7Networks_RH_SalVentAttn_TempOccPar_1,Ventral Attention
149,7Networks_RH_SalVentAttn_TempOccPar_2,Ventral Attention
150,7Networks_RH_SalVentAttn_TempOccPar_3,Ventral Attention
151,7Networks_RH_SalVentAttn_PrC_1,Ventral Attention
152,7Networks_RH_SalVentAttn_FrOperIns_1,Ventral Attention
153,7Networks_RH_SalVentAttn_FrOperIns_2,Ventral Attention
154,7Networks_RH_SalVentAttn_FrOperIns_3,Ventral Attention
155,7Networks_RH_SalVentAttn_FrOperIns_4,Ventral Attention
156,7Networks_RH_SalVentAttn_Med_1,Ventral Attention
157,7Networks_RH_SalVentAttn_Med_2,Ventral Attention
158,7Networks_RH_SalVentAttn_Med_3,Ventral Attention
165,7Networks_RH_Cont_Par_1,Frontoparietal Control
166,7Networks_RH_Cont_Par_2,Frontoparietal Control
167,7Networks_RH_Cont_Par_3,Frontoparietal Control
169,7Networks_RH_Cont_PFCv_1,Frontoparietal Control
170,7Networks_RH_Cont_PFCl_1,Frontoparietal Control
171,7Networks_RH_Cont_PFCl_2,Frontoparietal Control
172,7Networks_RH_Cont_PFCl_3,Frontoparietal Control
173,7Networks_RH_Cont_PFCl_4,Frontoparietal Control
174,7Networks_RH_Cont_PFCl_5,Frontoparietal Control
175,7Networks_RH_Cont_PFCl_6,Frontoparietal Control
176,7Networks_RH_Cont_PFCl_7,Frontoparietal Control
177,7Networks_RH_Cont_pCun_1,Frontoparietal Control
